Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
AS-AA1-01;Creations, production – Novels;Text;1967-03-26;Your house on a high;;Somers, Armonía;;"""Your home on a height""";It has many more pages than the final version. It is clear that the author made many corrections and  adjustments. In this copy the chapters have titles.;"Title written on the outside of the carpet in which the tapestry was. Numerous erasures, add-ons and handwritten corrections. Text: black ink. Corrections: pencil, blue ink, black ink. It had several handwritten sheets inserted without being numbered and without any indication regarding the place they should take in the final text (indexed separately from AS-AA1-04 to AS-AA1-21). Each chapter was stapled with a pin or with a paper clip (rusty). Page 76 cuted by half.

Translated with www.DeepL.com/Translator (free version)";;Responsable del File: Dra Sylvie Josserand Colla, (Equipo Files-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Editor: Proyecto CollEx-Persée Files 3.0, AAP 2018 (Responsable científico: Pra. Fatiha Idmhand, Equipo Files-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Projet CollEx-Persée Files 3.0, AAP 2018 (Responsable scientifique : Pr. Fatiha Idmhand, Equipe Files-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132);Centre de Recherches Latino-Américaines (CRLA–Archivos, ITEM UMR8132). MSHS - Bât. A5, 1er étage 5 rue Théodore Lefebvre - TSA21103. 86073 Poitiers cedex 9.;;;131 f., 139 p. numeradas 1-6, 5-6, 7-57, 2 pág. s.n., 58-116, 107, 117-137, 220 x 350 mm;;;;;Free tapestry sheets;Paper;Good;"New novel. Only fragments were published in a Uruguayan magazine : Somers, Armonía, "" Tu casa en una altura. Some unpublished fragments"", Maldoror, No. 24 (May 2006), p. 9-13.";;Uruguay | Montevideo;;;;;;;;;;;;;;
MX-F-01;Photos;Picture;1933;Margarita Xirgu de Elektra;;undetermined;;Theatre, acting, Merida;"Photo of Margarita Xirgu taken in the ""peristyle"" of the Roman theater of Merida, characterized by Elektra.";"Original file named ""Medea"".";;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible : Pr. Cécile Chantraine Braillon, Equipo CRHIA, La Rochelle Université);Barcelona;;;33Ko, 305 × 500;;;;;File JPEG;Digital;Poor;On-line : http://margaritaxirgu.es/photos/medea.jpg (Last consultation : 2020-04-20);;Spain;;;;;;;;;;;;;;
MX-F-02;Photos;Picture;1920;Margarita Xirgu;;undetermined;;Portrait;A portrait of Margarita Xirgu taken from the family archive;The original file is called: ''Indedita''.;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);;;;24 ko 364x500;;;;;File JPG;Digital;Good;On-line : http://margaritaxirgu.es/photos/inedita.jpg  (Last consultation : 2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-03;Photos;Picture;1967;Margarita Xirgu;;undetermined;;Picture of her personal life;Maragarita Xirgu with her husband at their home in Punta Ballena;;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);;;;640x415;;;;;File JPEG;Digital;Good;On-line: http://margaritaxirgu.es/photos/pb_1.jpg  (Last consultation: http 2020-04-20);;Uruguay | Montevideo;;;;;;;;;;;;;;
 MX-F-04;Photos;Picture;1930;Margarita Xirgu;;undetermined;;Photo of Margarita acting in a theatre scene;Photo of Margarita Xirgu representing ''La zapatera prodigiosa'' from Frederico Garcia Lorca;The original file is called: ‘’Maragarita Xirgu en la  zapatera prodigiosa’’;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Ciudad Real Museo Nacional  Del teatro;;;517 ko 1368x1812;;;;;File JPG;Digital;Poor;Online:  https://photos.google.com/share/AF1QipNUYj3bfTLVbMoMYEnCQ2a2S8rj58LdIgpQtZ868dYwMqJLNgYZuW8llwmka6XSUw/photo/AF1QipO49Mz03y_IfSWCLGXCqH6f1tChIJQlwVah4C8o?key=RUpVWEtfVnVBNXFwcWEwUDlHLW9oM1MwSi0zQ0xR (Last consultation: http 2020-04-20) (Last consultation: http 2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-05;Photos;Picture;Undetermined;Margarita Xirgu;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu dressed up, acting in a theatre scene;;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona MAE;;;158ko 960x1514;;;;;File JPG;Digital;Poor;Online: https://photos.google.com/share/AF1QipPsjdPJZWVD3kY3r63uJpce3CGF9QrkehGl68T5BQC4afdMrWi5S4-di1NCwfOWQg/photo/AF1QipP5_P2xwzMDmI2TmJ0arlKV9-4RDSahBfn38FM2?key=bFdWd3dETEJuNEtrVUVhaHJlOFVyb3BwRExCSjhR  (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-06;Photos;Picture;Undetermined;Margarita Xirgu;;undetermined;; Photo of Margarita acting;Photo of Margarita Xiruando in a theatre scene;The original file is called: ‘’ 02.jpg ’’;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Undetermined;;;402 × 625  43,5 ko;;;;;File JPG;Digital;Poor;Online:https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNJ90iWGqGv_sg3q2xk7xS9SeiuxOhRsKenemqf?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 Online:  (Last consultation: http 2020-04-20);;Desconocido;;;;;;;;;;;;;;
 MX-F-07;Photos;Picture;1906-1935;La Reina Joves;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu playing the role of La Reyna Joves;The original file is called:03.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Undetermined;;;400 × 640 38,5 ko;;;;;File JPG;Digital;Poor;Online:  https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO6GoO-vpEDS_s0kQgCqwZNIDS4xPmZ4_Q3NXjl?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Desconocido;;;;;;;;;;;;;;
 MX-F-08;Photos;Picture;1906-1935;La Reina Joves;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu playing the role of La Reyna Joves;The original file is called:04.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Undetermined;;;400 × 640 39,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipN8cJ3TgwGc2yFJ4uJROASDt5Vr4oQwD9U8us4H?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3   (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-09;Photos;Picture;1906-1935;Margarita Xirgu;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu acting in a theatre scene;The original file is called:05.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Undetermined;;;402 × 616 39,3 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO8ZhR8L7VcsHwB1Ffl5UtXnwRs794mjgB9e9Sv?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-20);;Spain;;;;;;;;;;;;;;
