Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription;
AS-AA1-01;Obras, creaciones, producción – Novelas;Text;1967-03-26;Tu casa en una altura [C1];[Aquello había empezado a parecerme algo];Somers, Armonía;;"""Tu casa en una altura""";En relación con la versión final tiene muchas páginas más. Se evidencia que la autora hizo muchos recortes, ajustes y correcciones. En esta copia los capítulos tienen títulos.;Título consignado en el exterior de la carpeta en la cual estaba el tapuscrito. Numerosas tachaduras, añadiduras y correcciones manuscritas. Texto: tinta negra. Correcciones: lápiz, tinta azul, tinta negra. Tenía varias hojas manuscritas intercaladas sin enumerar y sin indicaciones con respecto al lugar que deberían ocupar en el texto definitivo (indexadas por separado del AS-AA1-04 al AS-AA1-21). Cada capítulo estaba grapado con un alfiler o con un clip (oxidados). Página 76 cortada a la mitad.;;Responsable del archivo: Dra Sylvie Josserand Colla, (Equipo Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Editor: Proyecto CollEx-Persée Archivos 3.0, AAP 2018 (Responsable científico: Pra. Fatiha Idmhand, Equipo Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132) | Projet CollEx-Persée Archivos 3.0, AAP 2018 (Responsable scientifique : Pr. Fatiha Idmhand, Equipe Archivos-CRLA, Institut des textes et manuscrits modernes, CNRS-UMR8132);Centre de Recherches Latino-Américaines (CRLA–Archivos, ITEM UMR8132). MSHS - Bât. A5, 1er étage 5 rue Théodore Lefebvre - TSA21103. 86073 Poitiers cedex 9.;Fondo CRLA-Archivos - Archivo Armonía Somers - Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International) | Fonds CRLA-Archivos - Archives Armonía Somers- Licence Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;131 f., 139 p. numeradas 1-6, 5-6, 7-57, 2 pág. s.n., 58-116, 107, 117-137, 220 x 350 mm;spa;Tapuscrito - Copia 1;AS-AA1-02 | AS-AA1-03 | AS-AA1-04 | AS-AA1-05 | AS-AA1-06 | AS-AA1-07 | AS-AA1-08 | AS-AA1-09 | AS-AA1-10 | AS-AA1-11 | AS-AA1-12 | AS-AA1-13 | AS-AA1-14 | AS-AA1-15 | AS-AA1-16 | AS-AA1-17 | AS-AA1-18 | AS-AA1-19 | AS-AA1-20 | AS-AA1-21 | AS-AA1-22;;Folios tapuscritos libres;Papel;Bueno;Novela inédita. Solo se publicaron fragmentos en una revista uruguaya | Somers, Armonía, « Tu casa en una altura. Algunos fragmentos inéditos », Maldoror, núm. 24 (Mayo 2006), p. 9-13.;;Uruguay | Montevideo;;;;;;;;Dalmagro, María Cristina;2015/2019;Dalmagro, María Cristina | Passion, Laurent;2020-02-11;;;;
MX-F-01;Fotos;imagen;1933;Margarita Xirgu de Elektra;;indeterminado;;Teatro, actuación, Mérida;"Foto de Margarita Xirgu sacada en el ""peristilo"" del teatro romano de Mérida, caracterizada de Elektra";Archivo original nombrado « Medea »;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico : Pr. Cécile Chantraine Braillon, Equipo CRHIA, La Rochelle Université);Barcelona;Archives familiar de Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;33Ko, 305 × 500;;;;;Archivo JPEG;Digital;Mediocre;On-line : http://margaritaxirgu.es/fotos/medea.jpg (última consulta : 2020-04-20);;Espagne;;;;;;;;Chantraine Braillon, Cécile;2020-04-20;Chantraine Braillon, Cécile;$2020-04-20$;;;;
MX-F-02;Fotos;imagen;1920;Margarita Xirgu;;indeterminado;;Retrato;Un retrato de Margarita Xirgu sacada del archivo familiar;El archivo original se llama: ‘’Indedita’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;24 ko 364x500;;;;;Archivo JPG;Digital;Bueno;On-line : http://margaritaxirgu.es/fotos/inedita.jpg (última consulta : 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-03;Fotos;imagen;1967;Margarita Xirgu;;indeterminado;;Foto de su vida personal;Margarita  Xirgu con su esposo en su casa de Punta Ballena;;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;640x415;;;;;Archivo JPEG;Digital;Bueno;On-line: http://margaritaxirgu.es/fotos/pb_1.jpg  (última consulta: http 2020-04-20);;Uruguay | Montevideo;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-04;Fotos;imagen;1930;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando en una escena de teatro;Foto de Margarita Xirgu representando  ‘’La zapatera prodigiosa’’ de Frederico Garcia Lorca’’;El archivo original se llama: ‘’Margarita  Xirgu en la  zapatera prodigiosa’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Ciudad Real Museo Nacional  Del teatro;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;517 ko 1368x1812;;;Mx-971/972/73/974/975/976/977978;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipNUYj3bfTLVbMoMYEnCQ2a2S8rj58LdIgpQtZ868dYwMqJLNgYZuW8llwmka6XSUw/photo/AF1QipO49Mz03y_IfSWCLGXCqH6f1tChIJQlwVah4C8o?key=RUpVWEtfVnVBNXFwcWEwUDlHLW9oM1MwSi0zQ0xR (última consulta: http 2020-04-20) (última consulta: http 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-05;Fotos;imagen;Desconocido;Margarita Xirgu;;indeterminado;;Foto de Margarita Xirgu  de cerca;Foto de Margarita Xirgu  vestida con ropa elegante, actuando en  una escena de teatro;;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona MAE;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;158ko 960x1514;;;;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipPsjdPJZWVD3kY3r63uJpce3CGF9QrkehGl68T5BQC4afdMrWi5S4-di1NCwfOWQg/photo/AF1QipP5_P2xwzMDmI2TmJ0arlKV9-4RDSahBfn38FM2?key=bFdWd3dETEJuNEtrVUVhaHJlOFVyb3BwRExCSjhR (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-06;Fotos;imagen;Desconocido;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   actuando en  una escena de teatro;El archivo original se llama: ‘’ 02.jpg ’’;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 625  43,5 ko;;;;;Archivo JPG;Digital;Mediocre;Online:https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNJ90iWGqGv_sg3q2xk7xS9SeiuxOhRsKenemqf?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 Online: (última consulta: http 2020-04-20);;Desconocido;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-07;Fotos;imagen;1906-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 03.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;400 × 640 38,5 ko;;;;;Archivo JPG;Digital;Mediocre;Online: https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO6GoO-vpEDS_s0kQgCqwZNIDS4xPmZ4_Q3NXjl?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Desconocido;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-08;Fotos;imagen;1906-1935;La Reina Joves;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   interpretando el papel de La Reyna Joves;El archivo original se llama: 04.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;400 × 640 39,4 ko;;;;;Archivo JPG;Digital;Bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipN8cJ3TgwGc2yFJ4uJROASDt5Vr4oQwD9U8us4H?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
 MX-F-09;Fotos;imagen;1906-1935;Margarita Xirgu;;indeterminado;;Foto de Margarita actuando;Foto de Margarita Xirgu   actuando en  una escena de teatro;El archivo original se llama: 05.jpg;;Responsable del archivo : Familia Margarita Xirgu (Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Editor: Proyecto e-spectateur, AAP 2020 (Responsable científico :Alumno: Alan Gil Master LEA Amérique, La Rochelle Université); Desconocido;Archives familiales Margarita Xirgu – Licencia Licencia Creative Commons CC-BY-NC-ND (Attribution-Non Commercial-No Derivatives 4.0 International);;402 × 616 39,3 ko;;;;;Archivo JPG;Digital;Bueno;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO8ZhR8L7VcsHwB1Ffl5UtXnwRs794mjgB9e9Sv?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (última consulta: 2020-04-20);;Espagne;;;;;;;;Gil Alan;2020-04-20;Alan Gil;$2020-04-20$;;;;
